humidity,max,min,humidifier,de-humidifier
75.63,90,50,0,0
86.43,90,50,0,0
100.30,90,50,0,0
93.39,90,50,0,1
81.20,90,50,0,1
91.33,90,50,0,0
78.71,90,50,0,1
60.45,90,50,0,0
81.28,90,50,0,0
93.35,90,50,0,0
75.32,90,50,0,1
76.16,90,50,0,0
69.32,90,50,0,0
56.02,90,50,0,0
53.51,90,50,0,0
32.48,90,50,0,0
45.26,90,50,1,0
59.26,90,50,1,0
51.23,90,50,0,0
63.04,90,50,0,0
78.40,90,50,0,0
64.25,90,50,0,0
55.62,90,50,0,0
39.37,90,50,0,0
62.81,90,50,1,0
50.09,90,50,0,0
58.77,90,50,0,0
60.94,90,50,0,0
82.50,90,50,0,0
73.39,90,50,0,0
59.45,90,50,0,0
49.81,90,50,0,0
65.09,90,50,1,0
70.32,90,50,0,0
96.13,90,50,0,0
81.60,90,50,0,1
77.53,90,50,0,0
74.62,90,50,0,0
74.27,90,50,0,0
65.52,90,50,0,0
84.52,90,50,0,0
79.37,90,50,0,0
59.27,90,50,0,0
44.56,90,50,0,0
67.91,90,50,1,0
50.83,90,50,0,0
54.88,90,50,0,0
67.55,90,50,0,0
68.20,90,50,0,0
71.24,90,50,0,0
71.10,90,50,0,0
68.66,90,50,0,0
79.55,90,50,0,0
76.04,90,50,0,0
75.87,90,50,0,0
62.37,90,50,0,0
72.33,90,50,0,0
72.54,90,50,0,0
63.74,90,50,0,0
44.05,90,50,0,0
48.30,90,50,1,0
52.95,90,50,1,0
41.67,90,50,0,0
55.63,90,50,1,0
65.49,90,50,0,0
55.89,90,50,0,0
59.39,90,50,0,0
51.98,90,50,0,0
40.97,90,50,0,0
65.41,90,50,1,0
46.66,90,50,0,0
53.57,90,50,1,0
48.39,90,50,0,0
59.88,90,50,1,0
39.32,90,50,0,0
46.59,90,50,1,0
65.52,90,50,1,0
41.39,90,50,0,0
58.54,90,50,1,0
82.04,90,50,0,0
58.32,90,50,0,0
57.45,90,50,0,0
64.36,90,50,0,0
76.63,90,50,0,0
69.36,90,50,0,0
65.53,90,50,0,0
77.58,90,50,0,0
84.83,90,50,0,0
83.48,90,50,0,0
81.56,90,50,0,0
81.55,90,50,0,0
80.84,90,50,0,0
72.01,90,50,0,0
45.42,90,50,0,0
64.35,90,50,1,0
50.16,90,50,0,0
55.94,90,50,0,0
68.36,90,50,0,0
64.25,90,50,0,0
80.89,90,50,0,0
89.18,90,50,0,0
102.17,90,50,0,0
83.53,90,50,0,1
87.91,90,50,0,0
84.59,90,50,0,0
83.51,90,50,0,0
108.98,90,50,0,0
84.61,90,50,0,1
79.51,90,50,0,0
95.46,90,50,0,0
76.51,90,50,0,1
59.25,90,50,0,0
49.05,90,50,0,0
58.05,90,50,1,0
84.79,90,50,0,0
86.31,90,50,0,0
88.41,90,50,0,0
97.90,90,50,0,0
78.27,90,50,0,1
69.85,90,50,0,0
71.57,90,50,0,0
60.17,90,50,0,0
60.34,90,50,0,0
54.45,90,50,0,0
28.53,90,50,0,0
40.91,90,50,1,0
54.55,90,50,1,0
56.81,90,50,0,0
49.56,90,50,0,0
53.83,90,50,1,0
61.72,90,50,0,0
47.94,90,50,0,0
67.53,90,50,1,0
74.76,90,50,0,0
90.34,90,50,0,0
71.30,90,50,0,1
69.69,90,50,0,0
67.12,90,50,0,0
54.40,90,50,0,0
47.58,90,50,0,0
62.89,90,50,1,0
59.03,90,50,0,0
74.39,90,50,0,0
93.12,90,50,0,0
81.52,90,50,0,1
100.56,90,50,0,0
83.04,90,50,0,1
91.69,90,50,0,0
82.80,90,50,0,1
83.71,90,50,0,0
79.14,90,50,0,0
81.00,90,50,0,0
87.82,90,50,0,0
91.11,90,50,0,0
65.57,90,50,0,1
63.48,90,50,0,0
69.19,90,50,0,0
79.48,90,50,0,0
79.30,90,50,0,0
76.07,90,50,0,0
93.87,90,50,0,0
90.23,90,50,0,1
65.24,90,50,0,1
69.86,90,50,0,0
54.51,90,50,0,0
54.61,90,50,0,0
67.50,90,50,0,0
60.09,90,50,0,0
47.86,90,50,0,0
54.66,90,50,1,0
67.40,90,50,0,0
50.73,90,50,0,0
41.34,90,50,0,0
57.48,90,50,1,0
82.11,90,50,0,0
96.71,90,50,0,0
80.62,90,50,0,1
66.11,90,50,0,0
73.90,90,50,0,0
92.31,90,50,0,0
82.15,90,50,0,1
67.36,90,50,0,0
68.40,90,50,0,0
59.59,90,50,0,0
52.23,90,50,0,0
69.09,90,50,0,0
68.96,90,50,0,0
76.16,90,50,0,0
93.04,90,50,0,0
67.56,90,50,0,1
67.54,90,50,0,0
60.72,90,50,0,0
61.88,90,50,0,0
84.95,90,50,0,0
100.21,90,50,0,0
85.81,90,50,0,1
84.13,90,50,0,0
83.01,90,50,0,0
107.21,90,50,0,0
94.58,90,50,0,1
79.57,90,50,0,1
94.09,90,50,0,0
74.99,90,50,0,1
77.06,90,50,0,0
68.77,90,50,0,0
80.20,90,50,0,0
94.94,90,50,0,0
80.39,90,50,0,1
81.30,90,50,0,0
100.23,90,50,0,0
84.87,90,50,0,1
69.91,90,50,0,0
74.69,90,50,0,0
71.48,90,50,0,0
71.28,90,50,0,0
68.64,90,50,0,0
61.79,90,50,0,0
65.37,90,50,0,0
80.11,90,50,0,0
93.35,90,50,0,0
76.02,90,50,0,1
81.63,90,50,0,0
