temperature,max,min,a/c,heater
25.49,25,20,0,0
22.72,25,20,1,0
22.42,25,20,0,0
20.86,25,20,0,0
22.75,25,20,0,0
24.53,25,20,0,0
26.23,25,20,0,0
21.81,25,20,1,0
21.63,25,20,0,0
20.91,25,20,0,0
